Recording date:	2016/06/07
Recording time:	15:34:38
Recording resolution	1024 x 768

pygaze initiation report start
display resolution: 1024x768
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
pygaze calibration report start
samplerate: 120 Hz
sampletime: 8.33205667182 ms
accuracy (in pixels): LX=509.9068, LY=382.3034, RX=509.9308, RY=382.2862
precision (RMS noise in pixels): X=209.745083375, Y=172.68178827
distance between participant and display: 57.0 cm
fixation threshold: 43.7594828432 pixels
speed threshold: 1.02082144273 pixels/ms
accuracy threshold: 279.647443825 pixels/ms**2
pygaze calibration report end
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
508.3	455.1538	416.9118	0	443.1001	407.2017	0	0.4386	0.5365	
516.6	459.5285	394.7435	0	445.1987	406.5578	0	0.4418	0.5217	
524.9	455.8076	417.2301	0	443.3502	410.6191	0	0.4390	0.5390	
533.2	454.7717	407.2108	0	437.5907	402.8592	0	0.4357	0.5274	
541.6	458.4180	415.4096	0	440.3644	409.0407	0	0.4389	0.5368	
550.0	451.2195	404.3697	0	440.1830	402.5336	0	0.4353	0.5253	
558.3	454.9426	408.2712	0	445.3842	411.6342	0	0.4396	0.5338	
566.6	456.6500	399.9091	0	446.4542	414.9847	0	0.4410	0.5305	
574.9	491.7958	412.2934	0	470.5719	407.5604	0	0.4699	0.5338	
583.3	524.3148	401.7075	0	510.7223	399.6948	0	0.5054	0.5217	
591.6	550.0302	406.2379	0	536.8366	396.0197	0	0.5307	0.5223	
599.9	555.1898	398.9702	0	533.7132	392.8953	0	0.5317	0.5155	
608.2	548.3834	393.4476	0	536.3442	395.6049	0	0.5297	0.5137	
616.6	549.5496	398.7698	0	530.4149	398.0766	0	0.5273	0.5188	
624.9	554.2320	393.9322	0	534.2843	398.7230	0	0.5315	0.5161	
633.3	552.7085	396.7548	0	531.1941	397.3970	0	0.5292	0.5170	
641.5	551.1574	391.5202	0	533.0700	401.9677	0	0.5294	0.5166	
649.9	554.0967	403.0712	0	534.1442	396.4150	0	0.5314	0.5205	
658.3	552.1603	398.9704	0	534.4117	399.5279	0	0.5306	0.5199	
666.6	557.0435	389.7306	0	533.1051	403.0570	0	0.5323	0.5161	
675.0	553.7035	390.9849	0	529.4616	401.4795	0	0.5289	0.5159	
683.2	552.6847	393.7540	0	529.0496	398.1699	0	0.5282	0.5156	
691.6	554.9898	397.8617	0	529.5854	394.8345	0	0.5296	0.5161	
